#Running with 10 latency at 2000uS sample rate
#sampleCount	Signal	BPM	IBI	jitter
2	516	600	0	-1951	53
4	516	600	0	-17	44
6	516	600	0	-2	43
8	516	600	0	0	44
10	516	600	0	0	42
12	516	600	0	1	43
14	515	600	0	1	42
16	516	600	0	14	59
18	515	600	0	-10	48
20	515	600	0	3	49
22	516	600	0	1	49
24	516	600	0	3	52
26	515	600	0	-9	47
28	517	600	0	1	48
30	516	600	0	-1	44
32	516	600	0	-3	42
34	516	600	0	-2	40
36	516	600	0	2	42
38	516	600	0	1	46
40	516	600	0	3	46
42	516	600	0	-1	45
44	515	600	0	-1	44
46	516	600	0	468	51
48	516	600	0	-469	42
50	515	600	0	4	46
52	515	600	0	-1	48
54	515	600	0	2	47
56	515	600	0	-7	42
58	514	600	0	1	45
60	515	600	0	-2	41
62	515	600	0	9	48
64	515	600	0	199	55
66	515	600	0	-198	47
68	515	600	0	0	50
70	515	600	0	-3	46
72	515	600	0	9	56
74	515	600	0	0	55
76	515	600	0	-5	53
78	515	600	0	-2	47
80	515	600	0	3	51
82	515	600	0	-3	52
84	515	600	0	-4	46
86	514	600	0	7	51
88	514	600	0	496	64
90	514	600	0	-454	50
92	514	600	0	-41	50
94	514	600	0	1	61
96	514	600	0	2	57
98	515	600	0	21	89
100	514	600	0	97	194
102	514	600	0	-96	69
104	514	600	0	-26	52
106	514	600	0	0	49
108	514	600	0	11	67
110	514	600	0	-12	50
112	515	600	0	1	54
114	515	600	0	53	51
116	514	600	0	-53	52
118	514	600	0	-4	54
120	514	600	0	3	48
122	514	600	0	-1	48
124	514	600	0	7	49
126	514	600	0	26	66
128	515	600	0	7	106
130	515	600	0	-36	81
132	514	600	0	24	51
134	514	600	0	40	116
136	514	600	0	-65	54
138	514	600	0	1	65
140	515	600	0	6	58
142	515	600	0	37	71
144	515	600	0	-27	70
146	514	600	0	-18	50
148	514	600	0	-4	56
150	514	600	0	3	49
152	514	600	0	-2	49
154	514	600	0	-7	42
156	514	600	0	1	42
158	515	600	0	0	43
160	515	600	0	5	45
162	515	600	0	22	71
164	515	600	0	-5	63
166	515	600	0	-15	47
168	515	600	0	13	72
170	514	600	0	-1	58
172	515	600	0	-15	50
174	515	600	0	4	52
176	515	600	0	1	51
178	515	600	0	13	65
180	515	600	0	-10	57
182	514	600	0	-2	53
184	515	600	0	17	67
186	515	600	0	-20	53
188	514	600	0	2	55
190	515	600	0	-3	49
192	515	600	0	-4	46
194	515	600	0	-4	41
196	515	600	0	9	48
198	515	600	0	3	67
200	514	600	0	-7	42
202	515	600	0	-6	41
204	515	600	0	0	41
206	515	600	0	0	42
208	515	600	0	0	41
210	515	600	0	0	41
212	515	600	0	0	41
214	515	600	0	0	41
216	515	600	0	0	41
218	515	600	0	0	42
220	514	600	0	0	41
222	515	600	0	0	41
224	515	600	0	16	55
226	515	600	0	52	53
228	515	600	0	-56	56
230	515	600	0	-10	41
232	514	600	0	-1	41
234	515	600	0	-1	41
236	515	600	0	0	41
238	515	600	0	0	42
240	515	600	0	0	41
242	515	600	0	0	41
244	515	600	0	0	41
246	516	600	0	0	41
248	515	600	0	0	41
250	515	600	0	0	42
252	515	600	0	0	41
254	514	600	0	7	45
256	515	600	0	-6	41
258	515	600	0	10	53
260	515	600	0	4	55
262	515	600	0	-14	41
264	515	600	0	-1	41
266	515	600	0	1	41
